O_ORDERKEY,O_ORDERDATE,O_TOTALPRICE,O_ORDERSTATUS,O_ORDERPRIORITY,CUSTOMER_NAME,MARKET_SEGMENT,NATION,REGION

4100452,1992-01-01,33168.53,F,5-LOW,Customer#000098851,FURNITURE,EGYPT,MIDDLE EAST
1673569,1992-01-01,268273.88,F,1-URGENT,Customer#000107912,HOUSEHOLD,MOZAMBIQUE,AFRICA
368004,1992-01-01,114584.07,F,2-HIGH,Customer#000115313,FURNITURE,CANADA,AMERICA
5714757,1992-01-01,144932.69,F,1-URGENT,Customer#000058784,AUTOMOBILE,INDONESIA,ASIA
3785735,1992-01-01,83361.75,F,5-LOW,Customer#000055097,AUTOMOBILE,INDONESIA,ASIA
628352,1992-01-01,306687.23,F,2-HIGH,Customer#000024943,BUILDING,IRAQ,MIDDLE EAST
4811553,1992-01-01,154736.63,F,1-URGENT,Customer#000096974,HOUSEHOLD,ALGERIA,AFRICA
3070311,1992-01-01,166878.79,F,4-NOT SPECIFIED,Customer#000138256,AUTOMOBILE,PERU,AMERICA
4554916,1992-01-01,268561.22,F,3-MEDIUM,Customer#000111454,BUILDING,GERMANY,EUROPE
3446912,1992-01-01,79733.77,F,1-URGENT,Customer#000118354,MACHINERY,KENYA,AFRICA
5276642,1992-01-01,108636.43,F,4-NOT SPECIFIED,Customer#000118778,FURNITURE,CANADA,AMERICA
1410629,1992-01-01,71742.20,F,2-HIGH,Customer#000061826,HOUSEHOLD,UNITED STATES,AMERICA
721220,1992-01-01,223915.66,F,4-NOT SPECIFIED,Customer#000009263,BUILDING,JAPAN,ASIA
1359333,1992-01-01,89855.20,F,5-LOW,Customer#000053218,AUTOMOBILE,IRAQ,MIDDLE EAST
4324771,1992-01-01,154357.68,F,1-URGENT,Customer#000142297,AUTOMOBILE,ALGERIA,AFRICA
3696455,1992-01-01,120461.63,F,4-NOT SPECIFIED,Customer#000055804,AUTOMOBILE,EGYPT,MIDDLE EAST
5121094,1992-01-01,185795.72,F,4-NOT SPECIFIED,Customer#000023882,FURNITURE,FRANCE,EUROPE
1604453,1992-01-01,42352.59,F,1-URGENT,Customer#000000890,BUILDING,EGYPT,MIDDLE EAST
