DATE,CPI_INDEX,YOY_INFLATION_PCT,HOUSE_PRICE_INDEX
2015-01-31,233.707,-0.09,209.73
2015-02-28,234.722,-0.03,211.21
2015-03-31,236.119,-0.07,211.84
2015-04-30,236.599,-0.2,212.71
2015-05-31,237.805,-0.04,213.85
2015-06-30,238.638,0.12,214.73
2015-07-31,238.654,0.17,215.67
2015-08-31,238.316,0.2,216.18
2015-09-30,237.945,-0.04,217.25
2015-10-31,237.838,0.17,218.44
2015-11-30,237.336,0.5,219.48
2015-12-31,236.525,0.73,220.43
2016-01-31,236.916,1.37,221.53
2016-02-29,237.111,1.02,221.62
2016-03-31,238.132,0.85,223.19
2016-04-30,239.261,1.13,224.33
2016-05-31,240.229,1.02,225.37
2016-06-30,241.018,1.0,226.57
2016-07-31,240.628,0.83,227.75
2016-08-31,240.849,1.06,228.82
2016-09-30,241.428,1.46,230.12
2016-10-31,241.729,1.64,231.30
2016-11-30,241.353,1.69,232.25
2016-12-31,241.432,2.07,233.65
2017-01-31,242.839,2.5,233.94
2017-03-31,243.801,2.38,236.58
2017-04-30,244.524,2.2,238.33
2017-05-31,244.733,1.87,239.52
2017-06-30,244.955,1.63,240.43
2017-07-31,244.786,1.73,241.66
2017-08-31,245.519,1.94,243.23
2017-09-30,246.819,2.23,244.34
2017-10-31,246.663,2.04,245.30
2017-11-30,246.669,2.2,246.97
2017-12-31,246.524,2.11,248.12
2018-01-31,247.867,2.07,249.96
2018-02-28,248.991,2.21,251.63
2018-03-31,249.554,2.36,252.45
2018-04-30,250.546,2.46,253.17
2018-05-31,251.588,2.8,254.34
2018-06-30,251.989,2.87,255.42
2018-07-31,252.006,2.95,256.43
2018-08-31,252.146,2.7,257.70
2018-09-30,252.439,2.28,258.18
2018-10-31,252.885,2.52,259.02
2018-11-30,252.038,2.18,260.51
2018-12-31,251.233,1.91,261.33
2019-01-31,251.712,1.55,262.80
2019-02-28,252.776,1.52,263.48
2019-03-31,254.202,1.86,264.38
2019-04-30,255.548,2.0,265.65
2019-05-31,256.092,1.79,266.80
2019-06-30,256.143,1.65,267.79
2019-07-31,256.571,1.81,268.82
2019-08-31,256.558,1.75,269.90
2019-09-30,256.759,1.71,271.47
2019-10-31,257.346,1.76,272.89
2019-11-30,257.208,2.05,274.48
2019-12-31,256.974,2.29,276.82
2020-01-31,257.971,2.49,278.44
2020-02-29,258.678,2.33,280.44
2020-03-31,258.115,1.54,280.88
2020-04-30,256.389,0.33,281.26
2020-05-31,256.394,0.12,280.24
2020-06-30,257.797,0.65,283.27
2020-07-31,259.101,0.99,287.31
2020-08-31,259.918,1.31,292.35
2020-09-30,260.28,1.37,297.07
2020-10-31,260.388,1.18,301.58
2020-11-30,260.229,1.17,305.24
2020-12-31,260.474,1.36,309.28
2021-01-31,261.582,1.4,312.95
2021-03-31,264.877,2.62,320.27
2021-04-30,267.054,4.16,325.05
2021-05-31,269.195,4.99,330.43
2021-06-30,271.696,5.39,336.42
2021-07-31,273.003,5.37,341.44
2021-08-31,273.567,5.25,345.54
2021-09-30,274.31,5.39,349.11
2021-10-31,276.589,6.22,353.44
2021-11-30,277.948,6.81,358.37
2021-12-31,278.802,7.04,363.37
2022-01-31,281.148,7.48,368.75
2022-02-28,283.716,7.87,373.85
2022-03-31,287.504,8.54,378.47
2022-04-30,289.109,8.26,383.15
2022-05-31,292.296,8.58,386.66
2022-06-30,296.311,9.06,387.59
2022-07-31,296.276,8.52,385.72
2022-08-31,296.171,8.26,384.25
2022-09-30,296.808,8.2,385.07
2022-10-31,298.012,7.75,385.54
2022-11-30,297.711,7.11,385.48
2022-12-31,296.797,6.45,385.68
2023-01-31,299.17,6.41,386.85
2023-02-28,300.84,6.04,389.19
2023-03-31,301.836,4.98,391.12
2023-04-30,303.363,4.93,393.67
2023-05-31,304.127,4.05,396.50
2023-06-30,305.109,2.97,399.05
2023-07-31,305.691,3.18,402.40
2023-08-31,307.026,3.67,404.99
2023-09-30,307.789,3.7,407.27
2023-10-31,307.671,3.24,408.67
2023-11-30,307.051,3.14,409.76
2023-12-31,306.746,3.35,410.84
2024-01-31,308.417,3.09,411.60
2024-02-29,310.326,3.15,415.73
2024-03-31,312.332,3.48,416.48
2024-04-30,313.548,3.36,418.61
2024-05-31,314.069,3.27,419.14
2024-06-30,314.175,2.97,420.34
2024-07-31,314.54,2.89,421.30
2024-08-31,314.796,2.53,422.89
2024-09-30,315.301,2.44,425.63
2024-10-31,315.664,2.6,427.40
2024-11-30,315.493,2.75,428.89
2024-12-31,315.605,2.89,430.79
2025-01-31,317.671,3.0,432.68
2025-03-31,319.799,2.39,433.14
2025-04-30,320.795,2.31,432.31
2025-05-31,321.465,2.35,432.16
2025-06-30,322.561,2.67,432.56
2025-07-31,323.048,2.7,432.14
2025-08-31,323.976,2.92,434.20
2025-09-30,324.8,3.01,434.13
2025-11-30,324.122,2.74,438.56
2025-12-31,324.054,2.68,439.97
2026-01-31,325.252,2.39,441.19
2026-02-28,326.785,2.41,440.95
2026-03-31,330.213,3.26,441.58
2026-04-30,333.02,3.81,440.97
2026-05-31,335.123,4.25,442.42
